date,platform,text,person,truthfulness category
"October29,2013",a YouTube ad,"Says Kay Hagan ""supports waivers for friends of Obama and special treatment for Congress and their staffs.""",Americans for Prosperity,false
"October29,2013",a television ad,"Says ""new mandates are already reducing full-time employment.""",Americans for Prosperity,barely-true
"November4,2013",a speech to Organizing for Action,"""What we said was, you can keep (your plan) if it hasn’t changed since the law passed.""",Barack Obama,pants-fire
"October30,2013",a speech,"Due to Obamacare, Arkansas ""has covered almost 14 percent of its uninsured already.""",Barack Obama,mostly-true
"November3,2013","comments on NBC's ""Meet the Press""","""Health insurance is more expensive in Massachusetts than anywhere else in the country.""",Mitt Romney,mostly-true
"October30,2013",testimony before Congress,"""If I have affordable coverage in my workplace, I'm not eligible to go into the marketplace. ... It’s illegal.""",Kathleen Sebelius,pants-fire
"October28,2013",a tweet,"""FACT: Nothing in #Obamacare forces people out of their health plans.""",Valerie Jarrett,false
"October27,2013","an interview on ""This Week""","Says Mike Enzi is ""getting about 84 percent of his campaign funds from Washington-based PACs. That's more than any senator of either party.""",Dick Cheney,mostly-true
"October25,2013",a broadcast of the Charlie Sykes Show on WTMJ,"""The number of Americans who receive means-tested government benefits -- welfare -- now outnumbers those who are year-round full-time workers.""",Charlie Sykes,false
"October28,2013","comments on MSNBC's ""Morning Joe""","""The vast majority of people in this country are keeping their (health insurance) plan.""",David Axelrod,mostly-true
"October24,2013",a Fox News interview,"""Hidden"" in the healthcare.gov code is language that means users ""waive any reasonable right to privacy of your personal information.""",Joe Barton,false
"October27,2013","a discussion on CNN's ""State of the Union""","In Massachusetts, ""half of the primary care doctors are not accepting new patients.""",John Fleming,true
"October21,2013",a public address,"Nearly 6 in 10 uninsured Americans ""can get health insurance for what may be the equivalent of your cell phone bill.""",Barack Obama,mostly-true
"October22,2013","a discussion on CNN's ""Crossfire""","Emergency rooms account for ""2 percent of all health care spending.""",Nick Gillespie,mostly-true
"October21,2013","'The Last Word with Lawrence O'Donnell""","""The IRS has been specifically forbidden ...  from ever actually pursuing either civil or criminal remedies"" for people who don’t purchase health insurance.",Lawrence O'Donnell,mostly-true
"October21,2013",Facebook posts,"Congress, criminals, Scientologists and other groups are exempt from Obamacare.",Facebook posts,barely-true
"October21,2013",a broadcast of the Sean Hannity Show on WBAP AM,"""In 45 out of 50 states, on average men are seeing their premiums double, going up 99 percent. Women up 62 percent.""",Sean Hannity,barely-true
"October14,2013",a speech,"""About 47 percent of able-bodied people in the state of Maine don’t work.""",Paul LePage,pants-fire
"October17,2013","an interview on ""Fox and Friends""","""Woodrow Wilson borrowed $30 billion to fund World War I in 1917. That money has not been paid back. And we are still paying interest on it.""",Andrew Napolitano,barely-true
"October20,2013","an interview on ""Fox News Sunday""","""I never was in favor of shutting down the government. … (I) voted to fund the government fully.""",Marco Rubio,barely-true
"October21,2013",an interview on MSNBC's 'Morning Joe',"""No one beta-tested"" healthcare.gov.",Sam Stein,mostly-true
"October20,2013",a tweet,"Says under President Barack Obama, the debt increased by 23 percent, which was less than under any president going back to Ronald Reagan.",Tom Colicchio,false
"October20,2013","an appearance on NBC's ""Meet the Press""","""As a result of Obamacare, we are becoming something of a part-time employment country.""",Maria Bartiromo,false
"October17,2013",a public address,"""Half of all CEOs say that the shutdown and the threat of shutdown set back their plans to hire over the next six months.""",Barack Obama,mostly-true
"October15,2013",an interview with Fox News,"""We went from $160 billion deficit spending in (President George W.) Bush's last year to $1.6 trillion the following year.""",Louie Gohmert,barely-true
"October16,2013",an interview with CBS News,"The ""president has given 1,100 special waivers to his friends"" for Obamacare.",Mick Mulvaney,barely-true
"October16,2013",a conversation with reporters,"""Virtually every person across this country has seen premiums going up and up and up"" due to Obamacare.",Ted Cruz,false
"October8,2013",in a press release,"Chris Christie ""cut equal pay for women, calling it 'senseless bureaucracy.' """,Debbie Wasserman Schultz,barely-true
"October15,2013",an email and social media posts,"Congressional lawmakers earn their salaries ""FOR LIFE,"" which for House Minority Leader Nancy Pelosi would add up to ""$803,700 Dollars a year for LIFE including FREE medical.""",Chain email,pants-fire
"October9,2013",a column,"""No doctors who went to an American medical school will be accepting Obamacare.""",Ann Coulter,pants-fire
"October14,2013",a robocall,"Says U.S. Rep. Debbie Wasserman Schultz ""voted to cut off Florida’s veterans and their benefits.""",Republican National Committee,false
"October9,2013",an interview on MSNBC,"""Eighty percent of the antibiotics in this country are fed to livestock.""",Louise Slaughter,mostly-true
"October9,2013",a press release,"Says U.S. Rep. Steve Daines, R-Mont., ""opposes a vote on his own legislation that he proposed just a few months ago.""",Democratic Senatorial Campaign Committee,false
"October8,2013","an appearance on CNN's ""Crossfire""","Democrats already agreed to ""a deal that Republicans wanted, that Eric Cantor said would be a win.""",Bill Burton,mostly-true
"October7,2013",a campaign ad,"Says Sen. Mark Pryor voted for ""special subsidies"" for lawmakers and staff in Congress ""so they’re protected from Obamacare.""",Tom Cotton,false
"October3,2013",an MSNBC interview,"The health care marketplaces have ""no privacy protections.""",Tom Cotton,false
"October7,2013",an op-ed,"""For the first time since the Korean War, total federal spending has gone down for two years in a row.""",Dennis Ross,true
"October6,2013","an interview on ABC's ""This Week""","Because of the 2011 debt ceiling fight, ""the stock market lost 2,000 points.""",Charles Schumer,mostly-true
"October4,2013",messages on Twitter,The Obama administration shut down the Amber Alert program because of the government shutdown.,Tweets,false
"October1,2013",viral posts on the Internet,"Says a man opted out of Obamacare after the marketplace launched on Oct. 1, 2013, and was informed he owed a $4,000 fine.",Facebook posts,pants-fire
"October1,2013",an NPR interview,"""At the time that (Medicare Part D) was passed (it) was actually less popular than the Affordable Care Act, according to the polls.""",Barack Obama,mostly-true
"September27,2013",blog posts,"""Obama Declares November National Muslim Appreciation Month.""",Bloggers,pants-fire
"September25,2013",an MSNBC interview,"""(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.""",Bernie Sanders,false
"October1,2013",a House floor speech,"In a ""sweetheart deal … members of Congress, thanks to the Obama administration, are going to be the only people in America to get subsidies in the Obamacare exchanges.""",Jeb Hensarling,pants-fire
"September20,2013",a news release,"""A strong bipartisan majority"" in the House of Representatives ""voted to defund Obamacare.""",Ted Cruz,false
"September27,2013",remarks at the White House,"""The United States Senate — Democrats and Republicans — (voted) to keep our government open.""",Barack Obama,barely-true
"September25,2013","a discussion on CNN's ""Crossfire""","With Obamacare, ""we're fixing to get hit with the biggest entitlement program the American taxpayers have ever seen.""",Saxby Chambliss,barely-true
"September22,2013",a roundtable on ABC’s “This Week”,"Under economic sanctions, ""now Iran is suffering 30 percent inflation, 20 percent unemployment.""",Robert Reich,mostly-true
"September26,2013",a speech about the Affordable Care Act,"""Up to half of all Americans have a pre-existing condition.""",Barack Obama,mostly-true
"September24,2013",a Senate floor speech,"UPS left 15,000 employees’ spouses ""without health insurance"" and told them to, ""go on an exchange with no employer subsidy.""",Ted Cruz,false
"September24,2013","on CNN's ""Crossfire""","""(Obamacare) is a bill which has never once had a majority of Americans favor it.""",Newt Gingrich,mostly-true
"September20,2013",a House address,"If the government shuts down, ""all military personnel will continue to serve and accrue pay but will not actually be paid until appropriations are available.""",C.W. Bill Young,true
"September18,2013",a campaign ad,"""The president’s own advisers have said there’s a war on coal.""",Mitch McConnell,barely-true
"September18,2013","a discussion on CNN's ""Crossfire""","""Every engine manufacturer in the United States is now in the state of Texas.""",Rick Perry,false
"September15,2013",the New York Post,"""Obamacare will question your sex life.""",Betsy McCaughey,pants-fire
"September15,2013",an interview with Fox News,"The employer mandate ""affects only 5 percent of businesses in this country.""",Chris Van Hollen,mostly-true
"September13,2013",posts on the Internet,"Warren Buffett recently said ""Scrap Obamacare and Start All Over.""",Bloggers,pants-fire
"September11,2013",a CNN interview,"The United States ""stood alone in the war in Iraq.""",Debbie Wasserman Schultz,pants-fire
"September5,2013",an interview on MSNBC’s “All In”,"Says he ""opposed the president’s decision to go into Iraq"" in 2003.",John Kerry,barely-true
"September10,2013","a discussion on CNN's ""Crossfire""","President Barack Obama ""had the legal authority"" to strike Syria without a vote from Congress.",Joe Lieberman,true
"September10,2013","a discussion on CNN's ""Crossfire""","The United Nations has conducted ""172 successful peacekeeping missions and negotiations.""",Van Jones,mostly-true
"September7,2013","an interview with the ""Washington Post""","In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",Alan Grayson,barely-true
"September8,2013",a segment of 'Fox News Sunday',"""Before President Obama acted in Libya in 2011, the American people were opposed to military action by 35 to 60. After he took action, they were in support of it 54 to 43.""",Karl Rove,mostly-true
"September4,2013",an interview on Fox Business Network,"Chemical weapons have been used ""probably 20 times"" since the Persian Gulf War.",Ted Yoho,barely-true
"September8,2013",a tweet,"""CBO reports that delaying the Obamacare individual mandate will reduce the deficit by $35 billion over ten years.""",Grover Norquist,mostly-true
"September4,2013",a chain email,"An account of attacks in Benghazi written by former White House press secretary Dee Dee Myers shows that the body of U.S. Ambassador to Libya Christopher Stevens was ""dragged through the streets"" and abused.",Chain email,pants-fire
"September4,2013",a speech,"According to a recent poll, ""there are more young Republicans enrolled in their parents' (health insurance) plans than young Democrats.""",Bill Clinton,true
"September2,2013",a CNN interview,"Says there's a ""100-year-old international norm not to use chemical weapons.""",Debbie Wasserman Schultz,mostly-true
"September4,2013",a tweet,"""The average family premium has increased by 29% under Obama!""",Republican National Committee,mostly-true
"September1,2013","an interview on ""Fox News Sunday""","""The House did vote against engagement in Kosovo, and Bill Clinton kept fighting anyway. And, then, ultimately, a vote did pass.""",Peter King,mostly-true
"August23,2013",a radio interview,"Under the Endangered Species Act, ""only 1 percent of the species that have been listed have actually been delisted.""",Cynthia Lummis,mostly-true
"September1,2013","an interview on ""Face the Nation""","Fleeing Syria, ""a million children are now refugees.""",John McCain,true
"August26,2013",a question and answer session at Columbia University,"""We are about halfway"" to the president’s goal to cut greenhouse gas emissions and ""about half of that is because of the substitution of natural gas for coal in the power sector.""",Ernest Moniz,mostly-true
"August26,2013",an event to launch her reelection bid,"South Carolina has ""the fastest-growing economy in the Southeast.""",Nikki Haley,mostly-true
"August20,2013",a Facebook post,"""America’s gun-related homicide rate … would be about the same as Belgium’s if you left out California, Illinois, D.C. and New Jersey, places with some of the strictest gun control laws in the U.S.""",Mike Huckabee,pants-fire
"August27,2013",a speech at the National Press Club,"The 2010 DREAM Act failed despite ""strong bipartisan support.""",Janet Napolitano,barely-true
"April15,2013",an ad shared on social media,"The book Little Red Riding Hood is something ""that’s been banned in America,"" but not assault weapons.",Moms Demand Action for Gun Sense In America,barely-true
"August1,2013",a YouTube video,"""Three years after getting the $100 million (from Mark Zuckerberg), less than two-thirds of students in Cory Booker's Newark graduate.""",BookerFail,barely-true
"August18,2013",an op-ed,"""New York is the safest big city in the nation, and our crime reductions have been steeper than any other big city’s.""",Michael Bloomberg,mostly-true
"August15,2013",blog posts,"Obamacare provision will allow ""forced home inspections"" by government agents.",Bloggers,pants-fire
"August4,2013",a 'USA Today' op-ed,"Says unions call Obamacare ""bad for workers.""",Mike Lee,mostly-true
"August6,2013",a speech on homeownership,"""We now sell more products made in America to the rest of the world than ever before.""",Barack Obama,true
"August9,2013",an email to Obama supporters,"Sen. Marco Rubio ""refuses to accept the basic science"" on climate change and is ""a climate change denier.""",Organizing for Action,mostly-true
"August12,2013","an interview on Comedy Central's ""The Daily Show""","Many uninsured Americans are ""young.""",Rand Paul,mostly-true
"August12,2013","an interview on Comedy Central's ""The Daily Show""","""Why didn't (uninsured Americans) buy insurance? Because of the expense.""",Rand Paul,true
"August12,2013","an interview on Comedy Central's ""The Daily Show""","Of the roughly 15 percent of Americans who don’t have health insurance, ""half of them made more than $50,000 a year.""",Rand Paul,false
"August10,2013",a speech to the Family Leadership Summit,"Says ""President Obama just granted all of Congress an exception"" to Obamacare.",Ted Cruz,false
"August6,2013",a campaign ad,"Says Mitch McConnell pushed ""the Wall Street bailout through the U.S. Senate"" and called it ""the Senate at its finest.""",Matt Bevin,mostly-true
"August5,2013",a campaign ad,Says Matt Bevin has repeatedly failed to pay his taxes.,Mitch McConnell,barely-true
"August9,2013","a segment of his MSNBC show, ""Politics Nation""","Says President Barack Obama ""has taken 92 days of vacation since he was sworn in,"" compared to 367 for President George W. Bush at the same point in his presidency.",Al Sharpton,mostly-true
"August12,2013",a document shared via email and social media,"A United Nations working group has ""adopted a proposed agenda"" to enable member nations to ""disarm civilians within their borders.""",Chain email,pants-fire
"August1,2013",a letter with other Florida lawmakers to HHS Secretary Kathleen Sebelius,"Says Florida refused to allow the insurance commissioner to ""negotiate lower rates with companies or refuse rates that are too high"" under Obamacare.",Ted Deutch,true
"August4,2013","an interview on CBS' ""Face the Nation""","""Obamacare … carries on even under a government shutdown.""",Paul Ryan,mostly-true
"August5,2013",an interview with MSNBC,"""Half of all adults have a pre-existing condition"" that could affect their health care coverage.",Jan Schakowsky,mostly-true
"August2,2013",an interview with Bloomberg television,"""Since the Affordable Care Act passed, 90 percent of job growth has been in full-time positions.""",Alan Krueger,true
"August3,2013",a response to the president's Saturday address,"""This year, the overwhelming majority of new jobs are part time.""",Susan Collins,true
"July30,2013",an MSNBC interview,"Says about NSA data collection: ""Every member in both parties who served on the Intelligence Committee voted in favor of this.""",Tom Cole,mostly-true
"July30,2013",a speech,"""This year, we're off to our best private-sector jobs growth since 1999.""",Barack Obama,mostly-true
"July31,2013",an interview with Fox News' Sean Hannity,"""Even the employees’ union for the IRS -- the very people in charge of enforcing this law -- are begging to be let out from under this law.""",Marco Rubio,barely-true
"July30,2013",a media availability with reporters,"The sequester has ""already lost 1.6 million jobs.""",Harry Reid,false
"July24,2013",a speech,"The minimum wage is ""lower right now than it was when Ronald Reagan took office.""",Barack Obama,mostly-true
"July27,2013",an interview with the 'New York Times',"The ""most realistic estimates"" for jobs created by Keystone XL are ""maybe 2,000 jobs during the construction of the pipeline.""",Barack Obama,false
"July23,2013",various Internet postings,Ninety million Americans either aren’t working or aren’t looking for work.,Bloggers,barely-true
"July26,2013",an interview with Fox News,"""I was banned from talking about"" Bill Ayers during the 2008 presidential campaign.",Sarah Palin,pants-fire
"July27,2013",a commentary on CNN,"""More than 72 percent of children in the African-American community are born out of wedlock.""",Don Lemon,true
"July25,2013",a FoxNews.com op-ed,"Under Obamacare, ""75 percent of small businesses now say they are going to be forced to either fire workers or cut their hours.""",Marco Rubio,pants-fire
"July14,2013",an email,"""U.S. Department of Homeland Security has told banks -- in writing -- it may inspect safe deposit boxes without warrant and seize any gold, silver, guns or other valuables it finds inside those boxes!""",Chain email,pants-fire
"July24,2013",a speech at Knox College,"Says ""our deficits are falling at the fastest rate in 60 years.""",Barack Obama,true
"July24,2013",a speech,"""The income of the top 1 percent nearly quadrupled from 1979 to 2007, but the typical family’s incomes barely budged.""",Barack Obama,true
"July14,2013",an interview with World Net Daily,"""The president … by executive order"" could grant voting rights to illegal immigrants who are newly legalized under pending legislation.",Michele Bachmann,pants-fire
"July16,2013",an MSNBC interview,"Food stamp spending ""doubled under President Bush, doubled again under President Obama.""",Tom Cole,true
"July14,2013",an interview on 'Meet the Press.',"Says Barack Obama is getting his nominees confirmed ""faster than President (George W.) Bush was at the same time in his second term.""",Mitch McConnell,false
"July11,2013",a news conference,"""This is the same (farm) bill we voted on a few weeks ago, with the exception of one or two sentences.""",John Boehner,barely-true
"July7,2013",an interview on NBC’s “Meet the Press”,Says Obama administration delay of health care law's employer mandate affects about 1 percent of the American workforce.,Robert Menendez,mostly-true
"July8,2013",a Fox News interview,"""There was a Gallup poll in Egypt last year, and 70 percent of Egyptians don't want our money.""",Rand Paul,true
"July8,2013",a tweet,"""More Americans receive food aid than work in (the) private sector.""",Allen West,false
"July7,2013","an interview on CBS' ""Face the Nation""","The Senate immigration bill ""unleashes a massive increase in overall immigration. … We're talking about a population increase under the Senate bill of over 70 million people in 20 years.""",Dan Stein,false
"June29,2013",an interview with CNN,"Says under the Senate immigration bill, newly legalized immigrants will ""pay every tax possible, but you don’t get a single benefit"" for 10 years.",Luis Gutierrez,mostly-true
"July1,2013",an op-ed,"""In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks.""",Gabrielle Giffords,mostly-true
"June28,2013",an interview with Fox News,"In South Florida, ""we've had nine inches of sea-level rise since the 1920s.""",Debbie Wasserman Schultz,true
"June19,2013",a letter to a constituent,"""Nearly 70 percent of all federal spending will go towards Social Security, Medicare, and Medicaid"" in fiscal year 2014.",Todd Young,false
"June21,2013","a roundtable section of the HBO show ""Real Time with Bill Maher""","If it is enacted, the Senate immigration bill is ""going to make the Border Patrol bigger than the FBI -- you could put one agent every 250 feet.""",Bill Maher,true
"June20,2013",an interview on MSNBC,"""In 1999, the NRA leadership in Washington, pretty much the same people intact, were for (expanded background checks.)""",Joe Manchin,mostly-true
"June27,2013",an ad,"Says Arkansas Republican Rep. Tom Cotton voted to provide Congress with ""taxpayer-funded health care for life.""",Patriot Majority USA,pants-fire
"June24,2013",an interview with Fox News,"The Senate immigration bill ""has immediate legalization ... and the border security is sometime in the future, and just like in 1986, it's designed never to come into being.""",Ted Cruz,barely-true
"June27,2013",an interview on CBS’ “Face the Nation”,"The immigration bill ""has a specific provision that says that Secretary Napolitano does not have to build any fence if she chooses not to.""",Jeff Sessions,false
"June25,2013",a speech on climate change,"As a student at Occidental College in Los Angeles from 1979 to 1981, ""there were days where folks couldn't go outside. … because of all the pollution in the air.""",Barack Obama,mostly-true
"June21,2013",statements to the media,Says he can be on the ballot for Congress while serving time in jail.,Stephen Nodine,mostly-true
"June21,2013",a meme on social media,"""There are over 2,000 crimes recorded per 100,000 population in the U.K.,"" compared to ""466 violent crimes per 100,000"" in the United States.",Bloggers,false
"June17,2013",an interview with MSNBC,"Proposed cuts in the House farm bill mean ""2 million less people on food stamps, 210,000 children will not receive school lunches or breakfasts.""",Barbara Lee,mostly-true
"June17,2013",an interview with Charlie Rose,"The Foreign Intelligence Surveillance Court ""is transparent.""",Barack Obama,pants-fire
"June16,2013",an interview on WND Radio,"On immigration reform, Marco Rubio ""all along has been saying, 'We have to have border security first' "" and then ""he gets on Spanish TV, he ends up saying, 'No, no. That will never get in the way.' """,Dana Rohrabacher,barely-true
"June18,2013",a tweet from Barack Obama's Twitter feed,"""Since Newtown, more people have died at the end of a gun than we have lost in Afghanistan.""",Joe Biden,true
"June16,2013","an interview on CBS' ""Face the Nation""","The IRS scandal ""clearly showed some criminal behavior.""",Mike Rogers,barely-true
"June14,2013",a speech at the Faith and Freedom Coalition Conference,"""Immigrants are more fertile.""",Jeb Bush,mostly-true
"June13,2013","an interview on CNN's ""The Situation Room""","""The United States has never stood by and seen innocent people slaughtered to the extent that's happening in Syria.""",Saxby Chambliss,pants-fire
"June12,2013",an interview with Fox News,"""Worldwide credit card transactions, the credit card fraud rate is 0.04 percent, compared to almost 8 percent, 9 percent, 10 percent of Medicare fraud.""",Peter Roskam,mostly-true
"June11,2013",a House floor speech,"""This president spends 30 times as much money on global warming research as he does on weather forecasting and warning.""",Jim Bridenstine,barely-true
"June9,2013","an interview on ABC’s ""This Week""","""It's expressly prohibited by law that you can read and wholly surveil domestic email traffic in the United States.""",Mike Rogers,mostly-true
"June9,2013","a Senate speech rebroadcast on ABC's ""This Week""","Currently, the intelligence community ""can collect business records on law-abiding Americans who have no connection to terrorism.""",Mark Udall,true
"June6,2013",his radio show,"""One person, Kathleen Sebelius, was going to determine whether or not"" 10-year-old lung patient Sarah Murnaghan would live or die.",Rush Limbaugh,barely-true
"June9,2013",an interview on Face the Nation,"The problem of unwanted sexual contacts in the military ""is not just a woman's issue. More than half of the victims are men.""",Kirsten Gillibrand,mostly-true
"June4,2013",a House Ways and Means hearing,"""There was no surge in 501(c)(4) applications in 2010.""",Tim Griffin,true
"June4,2013",a tweet,"""Nearly 6 out of 10 believe that money and wealth should be more evenly distributed among a larger percentage of the people in the U.S.""",Bernie Sanders,true
"June4,2013",a House Ways and Means hearing,"""During the Bush administration, liberal groups were targeted"" by the IRS, similar to recent targeting.",Jim McDermott,barely-true
"June3,2013",a news release,"Says President Barack Obama is trying to ""pack"" the D.C. Circuit Court of Appeals.",Chuck Grassley,false
"May24,2013",an email to supporters,"""Republicans actually doctored emails between administration officials about Benghazi. Then, they released them to the press, trying to pass them off as real.""",Democratic National Committee,barely-true
"May21,2013",a news release,"A bill to advance the Keystone XL Pipeline ""is an earmark"" under House rules.",Alan Grayson,false
"May29,2013",a chain email,"Says the word ""Dhimmitude"" is on page 107 of the health care law and means ""Muslims are specifically exempted from the government mandate to purchase insurance.""",Chain email,pants-fire
"May23,2013",a House floor speech,"""Ronald Reagan’s signature on the 1986 amnesty act"" gave Barack Obama about 15 million additional Hispanic votes in 2012.",Steve King,false
"May19,2013","an interview on ""Meet the Press""","Says Health and Human Services Secretary Kathleen Sebelius told insurance companies ""they couldn't inform their policyholders of what they thought the impact of Obamacare would be on them.""",Mitch McConnell,mostly-true
"May17,2013",an interview on MSNBC,"Says the inspector general for the IRS said there was ""no political motivation"" and ""no outside influence"" for targeting of tax-exempt applications from tea party groups",Sander Levin,mostly-true
"May19,2013",a television ad,"A law that mandates fingerprinting for gun purchasers is ""a requirement that's reduced gun crimes in the five states where it's the law.""",Marylanders to Prevent Gun Violence Education Fund,barely-true
"May19,2013",a comment on 'Meet the Press',"""We have a tax code that allows groups to use their political operations within the tax code, under the guise of a charity, to use undisclosed millions of dollars to do political campaigns.""",Xavier Becerra,mostly-true
"May17,2013",an interview with Fox News,"""The IRS doesn't have to prove something against you ... you've got the burden of proof.""",Randy Forbes,mostly-true
"May19,2013",an appearance on CNN’s ‘State of the Union’,"Says Hillary Clinton ""was asked repeatedly to provide security in Benghazi on several occasions, including direct cables.""",Rand Paul,barely-true
"May15,2013","an interview on Fox News' ""On the Record"" with Greta Van Susteren","The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Americans’ ""personal, intimate, most close-to-the-vest-secrets.""",Michele Bachmann,pants-fire
"May15,2013","an interview on Fox News' ""On the Record"" with Greta Van Susteren","The IRS is ""going to be in charge of our health care.""",Michele Bachmann,false
"May15,2013","an interview on Fox News' ""On the Record"" with Greta Van Susteren","""The IRS will have the ability potentially"" to deny or delay health care.",Michele Bachmann,barely-true
"May6,2013",an interview on Fox News,"""We had people that were getting killed (in Benghazi), we had people who are willing to risk their lives to go save them, and somebody told them to stand down.""",Jason Chaffetz,false
"May13,2013",a press availability,"""Over the last several months, there was a review board headed by two distinguished Americans, Mike Mullen and Tom Pickering, who investigated every element of"" the Benghazi incident.",Barack Obama,barely-true
"May10,2013",a White House press briefing,"When Susan Rice spoke about Benghazi on Sunday news shows, she said ""that al-Qaida might be involved, or other al-Qaida affiliates might be involved, or non-al-Qaida Libyan extremists, which I think demonstrates that there was no effort to play that down.""",Jay Carney,barely-true
"May9,2013","an interview with MSNBC's ""Morning Joe""","""In 2010, everybody said you can't dare let guns go into the national parks, and of course the rapes, murders, robberies and assaults are down about 85 percent since we did that.""",Tom Coburn,false
"May5,2013",a web interview with ABC News,"Among Hispanics, support for immigration reform is close to universal.",Bill Richardson,mostly-true
"May1,2013",Web posts,"""Pentagon confirms they may court martial soldiers who hold Christian faith.""",Bloggers,barely-true
"April30,2013",a press conference,"Long-term federal investment in U.S. airports is urgent because ""there was a recent survey of the top airports … in the world, and there was not a single U.S. airport that came in the top 25.""",Barack Obama,mostly-true
"April25,2013",an interview on Fox Business Network,"Says new Medicare billing guidelines ""have nine codes for (injuries by) turkeys.""",Ted Poe,true
"April23,2013",an interview with MSNBC,"""One in five"" women in the military ""are receiving unwanted sexual contact,"" as are ""3.3 percent of men.""",Kirsten Gillibrand,mostly-true
"April24,2013",a House floor speech,"""In barely four years in office, five jihadists have reached their targets in the United States under Barack Obama,"" compared to zero ""in over seven years after 9/11 under George W. Bush.""",Tom Cotton,barely-true
"April23,2013",a tweet,"""Why is President Obama unnecessarily delaying your flight? FAA could cut other spending.""",Eric Cantor,barely-true
"April22,2013",an interview with MSNBC,"The Boston Marathon bombing ""is the fifth case"" in which U.S. government officials examined individuals potentially involved in terrorism ""and felt they were no threat and they went on to carry out terrorist murders.""",Peter King,mostly-true
"April17,2013",a speech on the Senate floor,"""No poll done this year ... shows less than a majority to reinstate a federal ban on assault weapons.""",Dianne Feinstein,mostly-true
"April17,2013",remarks,"A ""wide majority of NRA households ... supported this legislation"" on gun background checks.",Barack Obama,mostly-true
"April17,2013",blog posts on the Internet,"Proposed immigration legislation would give new immigrants ""a taxpayer-funded cellular phone.""",Bloggers,false
"April17,2013",a speech from the White House Rose Garden,"A bipartisan background check amendment ""outlawed any (gun) registry.  Plain and simple, right there in the text.""",Barack Obama,true
"April17,2013",a statement,"The Manchin-Toomey amendment ""would have criminalized certain private transfers of firearms between honest citizens, requiring lifelong friends, neighbors and some family members"" to get government approval.",National Rifle Association,barely-true
"April17,2013",remarks,"""The NRA used to support expanded background checks.""",Barack Obama,true
"April17,2013",an op-ed,"Polls show that Americans ""overwhelmingly"" support ""expanding background checks.""",Gabrielle Giffords,true
"April13,2013",a letter to a constituent,"""Well over 90 percent of felony cases, all over the nation, are committed by defendants who grew up in father-absent households.""",John Duncan,barely-true
"April10,2013",an email to supporters,"Says a gun bill before the Senate ""is proposing the universal registration of all firearms and their owners.""",Arizona Citizens Defense League,false
"April8,2013",an interview on Fox News,"Says it’s ""an old wives’ story"" that Margaret Thatcher told George H.W. Bush not to go wobbly.",Dick Cheney,false
"April2,2013",a CNN interview,"Says in Chicago, ""we take more guns off the streets than New York or L.A.""",Rahm Emanuel,true
"April1,2013",remarks,"""Expanding Medicaid will worsen health care options for the most vulnerable among us in Texas.""",Ted Cruz,false
"March27,2013",a tweet,"Says that under President Barack Obama’s health care law, ""your insurance"" premiums could go up by 200 percent and cost ""as much as a new Explorer.""",Fred Thompson,false
"March31,2013",an interview on 'Fox News Sunday',"Says ""94 percent of (Marco Rubio's) constituents support a universal background check.""",Mark Kelly,true
"March24,2013",a joint mayoral candidates' appearance on MSNBC,"An annual income of $500,000 ""in Manhattan, believe it or not, is middle class.""",Sal Albanese,false
"March24,2013",an appearance on 'Meet the Press',"""If you go back to 1999, Wayne LaPierre testified on behalf of the NRA that background checks were appropriate and should be done.""",Michael Bloomberg,true
"March20,2013",tweets,"While the sequester is in effect, the federal government is still funding a study on duck penises.",Tweets,mostly-true
"March20,2013",blog posts,The Air Force wants taxpayers to fund a fantasy football league.,Bloggers,false
"March16,2013",a speech at CPAC,"""We have a federal government that thinks they have the authority to regulate our toilet seats.""",Ted Cruz,true
"March19,2013",a Senate floor speech,"""In the last two years, we have reduced the deficit by $2.5 trillion.""",Harry Reid,false
"March16,2013",a speech at CPAC,"""Scientists tell us that we could have a cure in 10 years for Alzheimer's"" were it not for ""overzealous regulators, excessive taxation and greedy litigators.""",Michele Bachmann,pants-fire
"March16,2013",a speech at CPAC,"""Seven of the 10 highest-income counties in the country ring the city"" of Washington D.C.",Sarah Palin,true
"March17,2013",an appearance on NBC's 'Meet the Press',"""In the United States, 50 percent of social services are provided by the Catholic church.""",Frank Keating,false
"March16,2013",a speech at the conservative CPAC conference,"Of every ""three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.""",Michele Bachmann,pants-fire
"March14,2013",a speech at the CPAC conference,"Says the federal government is supporting a study in Hawaii to ""develop a menu for when we colonize Mars.""",Rand Paul,mostly-true
"March12,2013",a House floor speech,"""There are 3.6 million jobs sitting vacant, in part because there aren’t enough qualified applicants to fill them.""",Virginia Foxx,mostly-true
"March7,2013",a news conference,"""More than 64 percent of minimum-wage earners are women.""",Nancy Pelosi,true
